Number of UEs,Total Energy Consumption
1,0.01485739168267257
2,0.0499528978427692
3,0.1051897200619325
4,0.15832679108419404
5,0.2329732416660541
6,0.3182226128768255
7,0.4271550724674783
8,0.4742581871388302
9,3.1548490475160884
10,3.1626834568634936
11,6.943644149431934
12,9.504389541565159
13,6.853532794150119
14,17.186323339966343
15,14.671802154892745
16,11.34378652944571
17,14.866846240483119
18,11.908741925069418
19,19.615101379440475
20,27.132220172303334
21,26.929602898279786
22,27.4242499333388
23,25.89170597561039
24,35.84210247747865
25,37.149976255949
26,31.581666725885245
27,39.692221422522636
28,50.69122768498276
29,43.93999366460637
30,57.30797966982246
31,45.087648521596364
32,65.12442496330743
33,61.291460403906825
34,57.74965466251374
35,63.214330031503074
36,73.8052458740617
37,69.06261721652143
38,80.61570309053594
39,79.42977612258989
40,76.45744986666685
41,79.65988518983808
42,86.58386667140661
43,90.31070853701522
44,85.83793458344218
45,89.9788489963158
46,94.1710595120844
47,96.33173914821262
48,104.05679314889775
49,101.64121709595247
50,106.5680078959682
