step,ue_id,task_size,computing_density,max_delay
0,0,12710949.0,499.4369621877737,6.173043979372899
0,1,13419401.0,360.466514526368,3.364126088727496
0,2,14909584.0,379.31614545920525,4.054783789078325
0,3,16022012.0,379.35349484613397,4.812426730403987
0,4,13653246.0,362.654703386455,4.752634603615474
1,0,14507176.0,337.01641563464136,4.751668755688421
1,1,14580011.0,387.0644785236554,4.861219317634561
1,2,13685410.0,330.885334617866,3.9740462824748244
1,3,16061487.0,359.9309347349046,3.768238808052311
1,4,12755068.0,463.6453442709775,6.266478489611895
2,0,12654442.0,314.1449760021982,3.68033401444926
2,1,13591496.0,402.1655210395326,6.275000536330931
2,2,15955658.0,303.74960173008634,2.6053519267323417
2,3,16096149.0,310.29344066016597,3.7026898320514707
2,4,15071148.0,329.07402881508057,4.537546641900222
3,0,13583482.0,480.12429110293425,3.8482059632577963
3,1,13236584.0,442.9631987348729,6.036915768059359
3,2,13739066.0,328.2928347234047,2.853111958638569
3,3,13347639.0,350.5964724766888,3.4547520817106614
3,4,12952498.0,301.03182971132554,3.8599441268368158
4,0,13929315.0,311.03602479507373,3.9922237183466596
4,1,14539894.0,483.7221815875843,6.348679404125399
4,2,14368487.0,379.3473210422812,3.8128551775887423
4,3,13913808.0,359.3601003152444,3.0556701287763293
4,4,15431093.0,429.89177664881987,7.5991574037901
5,0,13794186.0,489.4952153145966,4.108895546522828
5,1,15924589.0,308.33932514505,3.2984169086584454
5,2,13980953.0,319.89433844360315,3.716178627659945
5,3,13111322.0,367.0815698546659,4.01804742470971
5,4,15337796.0,451.0025944350393,6.053592965146469
6,0,13168815.0,345.467815965293,3.0192443560649562
6,1,15519955.0,444.69303556618826,8.279002187708329
6,2,14343566.0,352.7741678075797,2.840666471139948
6,3,14416426.0,353.6877960203742,3.9350568219958033
6,4,14812228.0,473.7602916415617,5.8798831374137785
7,0,14225859.0,302.22288812479474,2.681263722791028
7,1,15004634.0,406.17113831111976,4.556224026116818
7,2,15403056.0,422.4066666222644,5.935853061683243
7,3,14979187.0,404.53493427051393,4.609458465060672
7,4,15456137.0,329.304935847798,5.4525835021375
8,0,15196542.0,372.8922046748915,4.274406303536169
8,1,15620152.0,326.7659057918553,3.535359369811587
8,2,15955478.0,475.4442414917173,4.4576951593248735
8,3,16525553.0,316.81193023307003,3.6245732409419964
8,4,15850205.0,363.1417734601484,4.979049497920963
9,0,16073993.0,359.75223037712567,4.348681925332074
9,1,15297905.0,449.76077650772237,6.252814495944857
9,2,13387248.0,305.03434568354913,3.6055728931614306
9,3,16524361.0,333.8221673125071,3.0890180895596195
9,4,15973796.0,436.7636858722468,7.979550964610211
10,0,15083417.0,313.6613682202626,3.9628749795042317
10,1,15830967.0,444.98678583842957,6.067480593961256
10,2,12907346.0,345.1425433349323,4.364064229167896
10,3,12623613.0,488.36133046867326,5.870828131883519
10,4,14611332.0,442.75238679161083,6.182405835652178
11,0,16201547.0,389.2443489135052,5.9444908149626885
11,1,14716546.0,406.74787867605954,3.683142795711688
11,2,15925526.0,306.79283425318425,3.2695994142602407
11,3,14701017.0,491.3898672550233,4.226978854881028
11,4,15268224.0,435.1995164246606,8.298610856656737
12,0,14123346.0,421.4682657085973,5.569184065312797
12,1,14320482.0,493.14983960859996,8.448488810890417
12,2,13975523.0,450.33230276263123,5.225756095339962
12,3,12909486.0,428.32266895181385,4.899297855244475
12,4,16262985.0,432.38243207104426,8.436303523479598
13,0,13748843.0,484.37868769938507,5.559402389313734
13,1,12889849.0,301.60938970596357,3.0880168049530674
13,2,15041744.0,344.39881073402864,3.5308887569813043
13,3,16184345.0,407.8399874851296,4.147700171941593
13,4,16093175.0,406.99006370045936,5.144319025459165
14,0,13376968.0,462.71608945562826,4.956186983631249
14,1,15309184.0,372.30768921764457,4.408633583987121
14,2,15603797.0,304.99060646581484,4.479973929341622
14,3,13435629.0,322.3482552351189,2.785315142623548
14,4,15321866.0,306.49910608551926,4.440990397054483
15,0,15309481.0,365.331231837218,2.9709189310428115
15,1,12681851.0,309.12039002656127,3.235080667270772
15,2,14406953.0,330.78105403293097,4.071374513981946
15,3,15111482.0,314.06497336110004,4.739915670320285
15,4,13462593.0,334.2044712275152,4.516301859025307
16,0,15673967.0,336.35555435804537,4.892173385192363
16,1,13411641.0,313.5800716382583,4.5577932501247
16,2,12941636.0,320.59877162802354,2.613800913490149
16,3,16239489.0,307.8125832377733,3.492327571042855
16,4,14174986.0,448.513244181938,6.286038631285605
17,0,16706858.0,315.20215348221865,3.7959890783897343
17,1,14335921.0,336.3680450743069,5.416754977530907
17,2,13168280.0,302.30134675815947,2.9342653831476095
17,3,15940719.0,351.39368452076604,2.9637412455814456
17,4,16678133.0,364.6690649499184,5.953330137361345
18,0,16250461.0,386.0936459321524,4.459948115992654
18,1,14582803.0,327.6263374952639,3.85786285015884
18,2,16741816.0,308.04269413944644,2.9772420318259436
18,3,14024970.0,496.54838290884277,5.861014947304836
18,4,13025039.0,469.80296306167156,5.9485831023839095
19,0,13614435.0,477.48234107749715,6.392657549939219
19,1,13139162.0,463.16749546153676,3.823159659157428
19,2,14091847.0,490.090330509366,5.9682145637385835
19,3,13260245.0,431.5902931117626,3.5155165563747763
19,4,16156432.0,456.50228220016646,8.05784392197586
20,0,16333769.0,459.85437376664527,6.348681416561639
20,1,12646768.0,304.32324998318995,2.81473430385262
20,2,16742911.0,331.3628543947218,5.291148805752275
20,3,14705087.0,361.6228786473758,4.33294010525657
20,4,13592317.0,392.57887582094145,3.6907115735048492
21,0,14527349.0,440.392596247317,5.570676931458003
21,1,15848806.0,471.83639970426884,5.311387964506503
21,2,16763359.0,478.6620367624355,5.117629695964648
21,3,15393532.0,344.0809033275451,4.938116895782569
21,4,15852455.0,330.7299279588516,3.6683343529614882
22,0,15573587.0,433.8194250270167,4.028284183995947
22,1,14427624.0,356.47916879342256,3.8085880301758728
22,2,15482919.0,336.79902876487256,2.9626792888169966
22,3,16459643.0,423.6104694505618,5.065430715712933
22,4,14780875.0,450.91457200651195,8.379291327146277
23,0,12824994.0,358.88676151560554,2.4383235764913858
23,1,13035665.0,344.0134599565704,3.7015869974748714
23,2,15087620.0,457.43618010946466,5.255367919677108
23,3,14978939.0,327.3089159647049,3.4912809048820215
23,4,13471049.0,304.06159217121416,4.292635160174653
24,0,12612740.0,439.2131948206975,3.994981749872946
24,1,13405046.0,337.18224641803585,3.86806770210407
24,2,13390589.0,351.835686989082,3.944914203462033
24,3,14241021.0,411.24586503439406,4.119578575904807
24,4,12677287.0,489.30128829634293,3.9785588400859666
25,0,13947701.0,442.6222466221325,4.022406439726391
25,1,15787110.0,457.84414723417194,8.19965634572587
25,2,14392772.0,345.22246609554475,4.493818791183161
25,3,14272115.0,447.8243494227421,3.929728851546714
25,4,12830936.0,426.8702693862114,4.181872736789174
26,0,16520211.0,396.1603012898322,6.305878564721355
26,1,13374192.0,473.60063997594716,5.314039726334407
26,2,16624497.0,468.193866153351,7.553291417779088
26,3,13607137.0,448.36552948254814,5.22089233513999
26,4,12938174.0,369.7054592639397,5.474886031614151
27,0,14722305.0,334.1646187919968,3.1884072003744146
27,1,13376544.0,379.5184737400234,5.484273932875109
27,2,13660083.0,304.28530601068337,3.193456673881177
27,3,12918536.0,491.0743785269618,6.476868155250665
27,4,13949404.0,478.09936846911177,7.807645666674473
28,0,14639061.0,460.10586512819816,4.563366732854108
28,1,14123816.0,452.64744086605697,5.632445285212926
28,2,13891541.0,366.19199324642983,4.873613086295727
28,3,15169528.0,453.63999556179647,6.136688401792554
28,4,15913620.0,326.1197071080039,3.8338643732883186
29,0,15111973.0,483.3955964159198,4.4778656720493135
29,1,13153420.0,332.73014522055064,5.209158693322538
29,2,16700561.0,420.014163839446,6.984007609942448
29,3,14137207.0,417.13885370433155,4.268337772985659
29,4,14696611.0,335.403371668065,3.876712611313534
30,0,16437970.0,305.79832040981285,3.344509691938941
30,1,13045399.0,497.3740006184926,4.754119454364998
30,2,13434598.0,344.05672983582883,4.579930197800424
30,3,15286022.0,315.0665444679314,3.8249807362183494
30,4,14870097.0,466.97983202694843,6.863440384823251
31,0,14691031.0,311.93130220876805,3.2766136911297634
31,1,13914046.0,491.1313097983535,7.197331150927029
31,2,15913470.0,370.72022274298456,4.437102939255005
31,3,13017097.0,421.8218337982619,4.510687530246658
31,4,16722497.0,307.75839886842107,4.2553877359807455
32,0,14572564.0,437.9365152865282,5.360248682102458
32,1,15887561.0,352.05993817738,6.344692219376082
32,2,14599891.0,422.5912750060281,5.897794112568327
32,3,16475939.0,436.09016094620785,5.495828997869534
32,4,13369210.0,344.294725944696,5.688711408834097
33,0,14626209.0,339.15277090683645,3.5526708599969927
33,1,12782677.0,426.57853729689543,3.3528586596949466
33,2,15209962.0,452.22488407280207,4.759706497679163
33,3,13171289.0,337.993061258734,3.2408189082938814
33,4,15698038.0,449.51945639919154,8.213877245868684
34,0,12785353.0,389.9590139215434,4.205809859271602
34,1,12639212.0,355.48491035122515,4.951712758463339
34,2,12662411.0,403.3555815017778,4.234281669236899
34,3,12788919.0,436.4349348376991,4.8218375019257875
34,4,16100407.0,456.1743632641467,5.508692648904839
35,0,16740997.0,317.5278002047751,4.5919917683798746
35,1,14902522.0,328.6346895442061,5.368103248302846
35,2,16490935.0,484.2978420653295,6.140661634951063
35,3,13708511.0,425.95246852238984,3.1022957425506403
35,4,16633089.0,450.1163302426312,4.937061785905976
36,0,13272975.0,327.8452090384039,3.3369891320945397
36,1,14578101.0,416.3789753759984,5.963902892995533
36,2,15289898.0,313.38790968572727,4.021502974566869
36,3,16231127.0,356.3958140148472,5.21896579272067
36,4,15647107.0,414.75822572022764,6.4495132973941836
37,0,12615073.0,479.40196225003575,5.821708078075298
37,1,12647300.0,440.5649787221459,5.520339764419412
37,2,14698332.0,404.9490797521574,3.56813660248735
37,3,15267725.0,351.79663275028634,2.969831942095905
37,4,15518663.0,461.4013246274503,7.413323437444296
38,0,12643721.0,301.13335221692773,3.467485421625555
38,1,15497798.0,324.4099733660402,4.884616546504715
38,2,13115323.0,382.0122040270394,3.1781100459216747
38,3,14820301.0,426.5425685754663,6.263484058911649
38,4,12897425.0,405.8799459702399,4.0645156021679645
39,0,14560582.0,428.8016409506888,3.4939361131705873
39,1,16571832.0,357.46103695786917,5.210452667901803
39,2,13447794.0,326.8159635758393,2.6595920492253633
39,3,16457683.0,455.35509154499147,6.502117130442032
39,4,14602033.0,404.794009925151,6.85883786503644
40,0,16549824.0,436.1145452351806,4.797294092012434
40,1,12951873.0,308.6938971289504,2.70702892738412
40,2,14086426.0,457.57288216193115,5.872963737675262
40,3,16128675.0,483.48956977417936,5.692682633212844
40,4,13564758.0,335.8057458445931,4.188082640052748
41,0,14802022.0,459.30859737204656,4.048352064961205
41,1,14275655.0,419.73169683940733,4.200837431754196
41,2,15679954.0,319.9949831636006,3.782305775757293
41,3,15592820.0,420.2230023486418,5.758732361902441
41,4,12912277.0,311.28231580542007,4.357668292736455
42,0,16004932.0,399.37225968996665,3.5471699688159504
42,1,14022714.0,348.1179239930698,3.928964625968654
42,2,15757147.0,314.94827071739763,2.67913367261952
42,3,16036160.0,305.8027648848721,4.374656157095558
42,4,14381515.0,329.47354734248984,3.0169164167351648
43,0,16267028.0,386.5083412897529,3.264076465481903
43,1,16437123.0,372.1001672512572,5.0420561411848315
43,2,16190442.0,351.3935139682584,4.937210662827357
43,3,14015961.0,401.9804819179213,4.957670167571777
43,4,15010790.0,426.3042024621682,7.24649096105065
44,0,15719371.0,360.9072872244488,4.771338569130338
44,1,13513311.0,315.45791321583454,3.734348113626639
44,2,13234553.0,396.1747930176884,4.657816090315281
44,3,13153589.0,323.1901422995889,3.5596766794741717
44,4,15646510.0,363.37806083277223,6.893221490614191
45,0,15285437.0,351.60936509793055,4.55454228686108
45,1,14076307.0,451.61517292996353,5.062332361112844
45,2,15649179.0,443.7633008403561,3.901470908989752
45,3,14762528.0,482.54445798703955,5.333082688566202
45,4,13106235.0,336.48816657797687,4.94697136110712
46,0,13472903.0,470.3515007711695,6.089063647175339
46,1,13394611.0,370.2935611785403,5.136495904499997
46,2,15917831.0,486.63149274224315,5.58437928572322
46,3,16122418.0,441.20620225460186,4.562808054634974
46,4,13154391.0,402.8017208337953,4.669045424847188
47,0,16399872.0,385.29675288732835,4.026609054501753
47,1,14375856.0,359.7952754917916,5.62132513992243
47,2,13664604.0,379.2660815487957,3.9610951144185114
47,3,16671958.0,409.64598127001886,4.769208216756616
47,4,12614428.0,475.05756488725115,6.539993266159189
48,0,13369770.0,394.74743194440276,4.67754078839116
48,1,16260852.0,478.3206876555528,7.940013055004386
48,2,14637694.0,307.21992782796303,4.041528608630069
48,3,15036044.0,453.9508936370871,6.659622125376379
48,4,16651654.0,438.08948024925644,6.134846874958462
49,0,14562992.0,325.83491687190997,2.5651519627848245
49,1,15001566.0,379.2659819445554,4.752444163561461
49,2,14646550.0,490.9412256005364,6.703551835735929
49,3,12967162.0,452.10733760177686,3.951636379487428
49,4,16182435.0,326.9576942201925,5.312327106284934
50,0,16563198.0,365.42215502964285,4.596154371390564
50,1,14042821.0,428.80394540396617,4.6897902719585405
50,2,13094249.0,402.6133971775623,4.973411126751461
50,3,16005692.0,417.9987352944629,5.121637503037579
50,4,14795939.0,332.79690178957964,5.119102531021275
